Day,Start Time,End Time,Division,Activity,Teams,Field,Volunteers
"Saturday","15:00","15:10","Standard Soccer","💬 Sytar Soccer Interview","Sytar Soccer","Interview Table A","Emily (General Ref)"
"Saturday","15:05","15:25","Lightweight Soccer","⚽ C-A-R Go Vroom Vroom vs Triton","C-A-R Go Vroom Vroom vs Triton","Soccer Field 5","Rowan; Alice (Simon Open Ref)"
"Saturday","15:05","15:25","Lightweight Soccer","⚽ Polynices Bot vs 80N35","Polynices Bot vs 80N35","Soccer Field 6","Priya; Bob (General Ref)"
"Saturday","15:05","15:25","Open Soccer","⚽ Jeff Squad vs Typhoon","Jeff Squad vs Typhoon","Soccer Field 3","Charlie (General Ref); Nolan"
"Saturday","15:05","15:25","Open Soccer","⚽ Robohampsters vs Aurora","Robohampsters vs Aurora","Soccer Field 2","Felix; John (Simon Open Ref)"
"Saturday","15:05","15:25","Standard Soccer","⚽ Yakult Academy vs To Tall To Fall","Yakult Academy vs To Tall To Fall","Soccer Field 8","Sarah (Soccer Ref)"
"Saturday","15:05","15:25","Standard Soccer","⚽ Insert Name Here vs SFX - SSR","Insert Name Here vs SFX - SSR","Soccer Field 10","David (Soccer Ref)"
"Saturday","15:05","15:25","Standard Soccer","⚽ TwoPowerSix vs D D D","TwoPowerSix vs D D D","Soccer Field 7","Jasper"
"Saturday","15:05","15:25","Simple Simon Soccer","⚽ Twinpwr vs OSPS - Team Spider Bot","Twinpwr vs OSPS - Team Spider Bot","Soccer Field 12","Zara"
"Saturday","15:05","15:25","Simple Simon Soccer","⚽ OSPS - Team Beetle Bot vs Ctrl-Alt-Defeat","OSPS - Team Beetle Bot vs Ctrl-Alt-Defeat","Soccer Field 11","Malik"
"Saturday","15:15","15:25","Open Soccer","💬 Hyperbot Interview","Hyperbot","Interview Table C","Bianca; Aria"
"Saturday","15:30","15:40","Lightweight Soccer","💬 Hyperion Interview","Hyperion","Interview Table C","Tessa; Rowan"
"Saturday","15:30","15:50","Open Soccer","⚽ The Dugongs vs Mechanical Ragebaiters","The Dugongs vs Mechanical Ragebaiters","Soccer Field 3","Jasper; Bianca"
"Saturday","15:30","15:50","Open Soccer","⚽ Tom and Gerry vs TS","Tom and Gerry vs TS","Soccer Field 1","Alice (Simon Open Ref); Charlie (General Ref)"
"Saturday","15:30","15:50","Open Soccer","⚽ Lotus vs Entropy","Lotus vs Entropy","Soccer Field 2","Aria; Elena"
"Saturday","15:30","15:40","Open Soccer","💬 Magic smoke Interview","Magic smoke","Interview Table B","Nolan; Felix"
"Saturday","15:30","15:40","Open Soccer","💬 Robohampsters Interview","Robohampsters","Interview Table A","Priya; David (Soccer Ref)"
"Saturday","15:30","15:50","Standard Soccer","⚽ ADVA vs Inspiration 1","ADVA vs Inspiration 1","Soccer Field 7","Bob (General Ref)"
"Saturday","15:30","15:50","Standard Soccer","⚽ KIC Potatoes vs AERYX","KIC Potatoes vs AERYX","Soccer Field 10","Malik"
"Saturday","15:45","15:55","Open Soccer","💬 Jeff Squad Interview","Jeff Squad","Interview Table C","John (Simon Open Ref); Sarah (Soccer Ref)"
"Saturday","15:55","16:15","Lightweight Soccer","⚽ Athena Robotics vs BundahBots","Athena Robotics vs BundahBots","Soccer Field 4","Bob (General Ref); Emily (General Ref)"
"Saturday","15:55","16:15","Lightweight Soccer","⚽ Tangent vs Trinity","Tangent vs Trinity","Soccer Field 6","Felix; Jasper"
"Saturday","15:55","16:15","Lightweight Soccer","⚽ Legacy vs Omni","Legacy vs Omni","Soccer Field 5","Priya; Rowan"
"Saturday","15:55","16:15","Open Soccer","⚽ Magic smoke vs Open Legends","Magic smoke vs Open Legends","Soccer Field 2","Tessa; David (Soccer Ref)"
"Saturday","15:55","16:15","Standard Soccer","⚽ Invincible Warriors vs Sytar Soccer","Invincible Warriors vs Sytar Soccer","Soccer Field 8","Alice (Simon Open Ref)"
"Saturday","15:55","16:15","Standard Soccer","⚽ Low taper fade vs Ball Seekers","Low taper fade vs Ball Seekers","Soccer Field 11","Malik"
"Saturday","15:55","16:15","Standard Soccer","⚽ Tech Support vs Soccer Bots","Tech Support vs Soccer Bots","Soccer Field 9","Charlie (General Ref)"
"Saturday","16:00","16:10","Lightweight Soccer","💬 Polynices Bot Interview","Polynices Bot","Interview Table A","Sarah (Soccer Ref); Bianca"
"Saturday","16:00","16:10","Standard Soccer","💬 Inspiration 1 Interview","Inspiration 1","Interview Table C","Zara"
"Saturday","16:00","16:10","Standard Soccer","💬 Insert Name Here Interview","Insert Name Here","Interview Table B","John (Simon Open Ref)"
"Saturday","16:15","16:25","Lightweight Soccer","💬 Legacy Interview","Legacy","Interview Table C","Emily (General Ref); David (Soccer Ref)"
"Saturday","16:15","16:25","Open Soccer","💬 Mechanical Ragebaiters Interview","Mechanical Ragebaiters","Interview Table B","Jasper; Priya"
"Saturday","16:20","16:40","Lightweight Soccer","⚽ Team Name vs Hyperion","Team Name vs Hyperion","Soccer Field 5","John (Simon Open Ref); Zara"
"Saturday","16:20","16:40","Lightweight Soccer","⚽ Tangent vs Triton","Tangent vs Triton","Soccer Field 4","Nolan; Rowan"
"Saturday","16:20","16:40","Open Soccer","⚽ Battery Acid vs Devious Dogs","Battery Acid vs Devious Dogs","Soccer Field 2","Tessa; Bob (General Ref)"
"Saturday","16:20","16:40","Open Soccer","⚽ Hyperbot vs deepseeking attention","Hyperbot vs deepseeking attention","Soccer Field 3","Sarah (Soccer Ref); Elena"
"Saturday","16:20","16:40","Standard Soccer","⚽ CubeBot vs Bundy Botz","CubeBot vs Bundy Botz","Soccer Field 9","Malik"
"Saturday","16:20","16:40","Standard Soccer","⚽ 4A1I vs TPS Soccerbots","4A1I vs TPS Soccerbots","Soccer Field 7","Bianca"
"Saturday","16:20","16:40","Simple Simon Soccer","⚽ Brissie Ballers vs Brissie Bananas","Brissie Ballers vs Brissie Bananas","Soccer Field 12","Felix"
"Saturday","16:30","16:40","Standard Soccer","💬 Low taper fade Interview","Low taper fade","Interview Table A","Aria"
"Saturday","16:45","16:55","Lightweight Soccer","💬 80N35 Interview","80N35","Interview Table A","John (Simon Open Ref); Tessa"
"Saturday","16:45","16:55","Lightweight Soccer","💬 Flippant Potato Interview","Flippant Potato","Interview Table A","Bob (General Ref); David (Soccer Ref)"
"Saturday","16:45","16:55","Lightweight Soccer","💬 Athena Robotics Interview","Athena Robotics","Interview Table B","Malik; Sarah (Soccer Ref)"
"Saturday","16:45","16:55","Lightweight Soccer","💬 Tangent Interview","Tangent","Interview Table C","Jasper; Felix"
"Saturday","16:45","16:55","Open Soccer","💬 Open Legends Interview","Open Legends","Interview Table C","Emily (General Ref); Alice (Simon Open Ref)"
"Saturday","16:45","16:55","Open Soccer","💬 Battery Acid Interview","Battery Acid","Interview Table A","Priya; Rowan"
"Saturday","16:45","16:55","Standard Soccer","💬 Invincible Warriors Interview","Invincible Warriors","Interview Table B","Bianca"
"Sunday","10:00","10:20","Lightweight Soccer","⚽ Team Name vs Flippant Potato","Team Name vs Flippant Potato","Soccer Field 4","Tessa; Priya"
"Sunday","10:00","10:20","Lightweight Soccer","⚽ Polynices Bot vs Triton","Polynices Bot vs Triton","Soccer Field 6","Elena; Charlie (General Ref)"
"Sunday","10:00","10:20","Lightweight Soccer","⚽ Athena Robotics vs Hyperion","Athena Robotics vs Hyperion","Soccer Field 5","Rowan; Bianca"
"Sunday","10:00","10:20","Open Soccer","⚽ Robohampsters vs Typhoon","Robohampsters vs Typhoon","Soccer Field 1","Sarah (Soccer Ref); Aria"
"Sunday","10:00","10:20","Open Soccer","⚽ deepseeking attention vs Entropy","deepseeking attention vs Entropy","Soccer Field 3","Emily (General Ref); Felix"
"Sunday","10:00","10:20","Standard Soccer","⚽ ADVA vs Bundy Botz","ADVA vs Bundy Botz","Soccer Field 8","Nolan"
"Sunday","10:00","10:20","Standard Soccer","⚽ KIC Potatoes vs To Tall To Fall","KIC Potatoes vs To Tall To Fall","Soccer Field 9","Malik"
