Day,Start Time,End Time,Division,Activity,Teams,Field,Volunteers
"Sunday","13:00","13:20","Standard Soccer","🏆 Winner QF1 vs Winner QF4","standardsoccer Winner QF1 vs standardsoccer Winner QF4","Soccer Field 7","Charlie (General Ref)"
"Sunday","13:00","13:20","Standard Soccer","🏆 Winner QF2 vs Winner QF3","standardsoccer Winner QF2 vs standardsoccer Winner QF3","Soccer Field 10","Nolan"
"Sunday","13:00","13:20","Simple Simon Soccer","🏆 1st Place vs 4th Place","simplesimonsoccer 1st Place vs simplesimonsoccer 4th Place","Soccer Field 11","Emily (General Ref)"
"Sunday","13:00","13:20","Simple Simon Soccer","🏆 2nd Place vs 3rd Place","simplesimonsoccer 2nd Place vs simplesimonsoccer 3rd Place","Soccer Field 12","Jasper"
"Sunday","13:25","13:45","Lightweight Soccer","🏆 Winner SF1 vs Winner SF2","lightweightsoccer Winner SF1 vs lightweightsoccer Winner SF2","Soccer Field 6","Priya; Zara"
"Sunday","13:25","13:45","Lightweight Soccer","🏆 Loser SF1 vs Loser SF2","lightweightsoccer Loser SF1 vs lightweightsoccer Loser SF2","Soccer Field 4","Aria; Bianca"
"Sunday","13:25","13:45","Open Soccer","🏆 Winner SF1 vs Winner SF2","opensoccer Winner SF1 vs opensoccer Winner SF2","Soccer Field 1","David (Soccer Ref); Tessa"
"Sunday","13:25","13:45","Open Soccer","🏆 Loser SF1 vs Loser SF2","opensoccer Loser SF1 vs opensoccer Loser SF2","Soccer Field 3","Bob (General Ref); Elena"
"Sunday","13:25","13:45","Standard Soccer","🏆 Winner SF1 vs Winner SF2","standardsoccer Winner SF1 vs standardsoccer Winner SF2","Soccer Field 7","Alice (Simon Open Ref)"
"Sunday","13:25","13:45","Standard Soccer","🏆 Loser SF1 vs Loser SF2","standardsoccer Loser SF1 vs standardsoccer Loser SF2","Soccer Field 8","Felix"
"Sunday","13:25","13:45","Simple Simon Soccer","🏆 Winner SF1 vs Winner SF2","simplesimonsoccer Winner SF1 vs simplesimonsoccer Winner SF2","Soccer Field 11","Sarah (Soccer Ref)"
